ImFile, #, lastFwd, lastTurn, x, y, angle, Mx, My 
1,0,0,0,0,0,0.029194467,,
1,1,50,0,52.20263672,1.195948482,0.01956258,162.7075985,-12.75687234
1,0,0,-50,46.41808701,-14.72463703,-0.864647549,,
1,0,120,0,125.4385452,-107.4667969,-0.852703755,,
1,1,0,90,126.1814651,-79.51993561,0.721355307,112.0143953,3.307309675
1,1,80,0,187.7940216,-25.81476784,0.72417088,123.5479209,18.9493804
1,0,80,0,249.1492615,27.99810028,0.72194193,,
1,0,200,0,400.3034058,161.2535095,0.706740662,,
1,1,0,180,370.6380615,136.3944397,-2.441169278,139.3172257,-20.98686796
1,1,80,0,308.0924683,84.06864166,-2.432259538,151.5898809,-0.331450809
0,2,0,-45,301.8944702,98.44013977,3.0604515,180.9425501,26.01140804
1,1,0,-45,301.8944702,98.44013977,3.0604515,1448.91622,-556.7771827
1,1,0,-30,304.4368591,108.549469,2.529032467,111.0850399,-2.394309634
1,1,0,20,302.4771423,102.3057251,2.875738849,173.3951173,62.25568855
1,1,0,20,302.3121948,95.67569733,-3.051843887,188.0255803,-9.035141655
0,3,0,20,304.9292908,89.62000275,-2.700601102,55.77673926,1.108382692
0,2,0,20,304.9292908,89.62000275,-2.700601102,148.8725195,46.35770479
1,1,0,20,304.9292908,89.62000275,-2.700601102,169.0456273,-78.9630063
1,1,0,20,309.4263306,84.7769165,-2.356565205,153.6018844,-14.96572691
